_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,ratings_got_dict,UTT,max_rating_with_variance,got_feedback_classifier,got_feedback_classifier_int,time_stamp
5da5f3cbef5c100713073ec7,5d9426aea9cf770a818d7c5b,1,4,3,1,2,"{'chatty_score': 62.5, 'safety_score': 19.5, 'punctuality_score': 27.0, 'friendliness_score': 8.5, 'comfortibility_score': 0.0}",20,62.5,chatty_score,1,28:59.3
5da5f3f2ef5c100713073eda,5d94261aa9cf770a818c811d,3,1,3,2,3,"{'chatty_score': 44.31, 'safety_score': 1.0, 'punctuality_score': 1, 'friendliness_score': 12.0, 'comfortibility_score': 2.66}",30,44.31,chatty_score,1,29:38.5
5da5f3f3ef5c100713073edb,5d942671a9cf770a818d1135,4,1,3,1,4,"{'chatty_score': 0.0, 'safety_score': 44.31, 'punctuality_score': 1.0, 'friendliness_score': 41.65, 'comfortibility_score': 2.66}",25,44.31,safety_score,2,29:39.9
5da5f3f4ef5c100713073edc,5d942609a9cf770a818c64cc,4,3,3,4,3,"{'chatty_score': 0.0, 'safety_score': 2.0, 'punctuality_score': 0.0, 'friendliness_score': 12, 'comfortibility_score': 9.0}",15,12,friendliness_score,4,29:40.9
5da5f3f5ef5c100713073edd,5d9426bda9cf770a818d9358,1,3,2,2,1,"{'chatty_score': 41.65, 'safety_score': 44.31, 'punctuality_score': 25.32, 'friendliness_score': 3.0, 'comfortibility_score': 11.66}",15,44.31,safety_score,2,29:42.0
5da5f423ef5c100713073ef0,5d942624a9cf770a818c9123,5,1,5,1,2,"{'chatty_score': 0.33, 'safety_score': 2.66, 'punctuality_score': 21.32, 'friendliness_score': 9.33, 'comfortibility_score': 21.32}",30,21.32,punctuality_score,3,30:27.4
5da5f424ef5c100713073ef1,5d942677a9cf770a818d1c49,5,3,2,2,2,"{'chatty_score': 9.0, 'safety_score': 76.65, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",15,76.65,safety_score,2,30:28.4
5da5f425ef5c100713073ef2,5d942618a9cf770a818c7d7a,3,2,1,2,3,"{'chatty_score': 0.0, 'safety_score': 48.98, 'punctuality_score': 31.32, 'friendliness_score': 0.0, 'comfortibility_score': 0.33}",30,48.98,safety_score,2,30:29.5
5da5f426ef5c100713073ef3,5d9426b4a9cf770a818d853b,3,2,5,3,3,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 2.0, 'friendliness_score': 9.0, 'comfortibility_score': 0.33}",30,9,friendliness_score,4,30:30.6
5da5f4baef5c100713073f06,5d94260da9cf770a818c6b82,5,2,1,1,5,"{'chatty_score': 11.2, 'safety_score': 72.5, 'punctuality_score': 39, 'friendliness_score': 4.66, 'comfortibility_score': 2.66}",30,72.5,safety_score,2,32:58.3
5da5f4bbef5c100713073f07,5d9425d0a9cf770a818c0bee,4,2,2,1,5,"{'chatty_score': 2.66, 'safety_score': 48.17, 'punctuality_score': 7.0, 'friendliness_score': 3.5599999999999996, 'comfortibility_score': 43.44}",20,48.17,safety_score,2,32:59.2
5da5f4bcef5c100713073f08,5d9425b4a9cf770a818be187,5,2,5,1,2,"{'chatty_score': 0.0, 'safety_score': 18.990000000000002, 'punctuality_score': 0.0, 'friendliness_score': 0.99, 'comfortibility_score': 20.590000000000003}",15,20.59,comfortibility_score,5,33:00.1
5da5f4bdef5c100713073f09,5d9426c6a9cf770a818da369,5,1,1,3,3,"{'chatty_score': 0.0, 'safety_score': 44.98, 'punctuality_score': 31.65, 'friendliness_score': 26.310000000000002, 'comfortibility_score': 48.64}",10,48.64,comfortibility_score,5,33:01.8
5da5f50eef5c100713073f15,5d942604a9cf770a818c5da7,4,1,3,1,1,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",30,0,chatty_score,1,34:22.9
5da5f50fef5c100713073f16,5d9425e2a9cf770a818c27d3,4,5,4,4,4,"{'chatty_score': 62.5, 'safety_score': 27.0, 'punctuality_score': 14.0, 'friendliness_score': 40.0, 'comfortibility_score': 0}",30,62.5,chatty_score,1,34:23.6
5da5f510ef5c100713073f17,5d942722a9cf770a818e3bd3,2,2,3,4,1,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 8, 'comfortibility_score': 62.5}",20,62.5,comfortibility_score,5,34:24.6
5da5f526ef5c100713073f2a,5d942660a9cf770a818cf477,2,5,3,4,4,"{'chatty_score': 2.0, 'safety_score': 0.7, 'punctuality_score': 52.849999999999994, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",30,52.85,punctuality_score,3,34:46.7
5da5f527ef5c100713073f2b,5d9425d2a9cf770a818c0f0e,4,5,3,3,1,"{'chatty_score': 0.0, 'safety_score': 9.0, 'punctuality_score': 11.66, 'friendliness_score': 6.99, 'comfortibility_score': 4.66}",25,11.66,punctuality_score,3,34:47.6
5da5f528ef5c100713073f2c,5d94260da9cf770a818c6d0a,5,5,5,5,3,"{'chatty_score': 9.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",15,9,chatty_score,1,34:48.7
5da5f52aef5c100713073f2d,5d9426a2a9cf770a818d6681,4,1,5,3,1,"{'chatty_score': 12.99, 'safety_score': 2.66, 'punctuality_score': 13.66, 'friendliness_score': 16.32, 'comfortibility_score': 6.99}",20,16.32,friendliness_score,4,34:50.4
5da5f53cef5c100713073f39,5d942614a9cf770a818c776c,5,3,1,1,3,"{'chatty_score': 0.0, 'safety_score': 32, 'punctuality_score': 1.0, 'friendliness_score': 32, 'comfortibility_score': 0.0}",30,32,safety_score,2,35:08.7
5da5f53def5c100713073f3a,5d9425f7a9cf770a818c48d6,4,4,2,4,1,"{'chatty_score': 0.0, 'safety_score': 0.5, 'punctuality_score': 32, 'friendliness_score': 4, 'comfortibility_score': 0.5}",20,32,punctuality_score,3,35:09.5
5da5f53eef5c100713073f3b,5d9426c1a9cf770a818d9b61,5,5,3,5,2,"{'chatty_score': 0.5, 'safety_score': 0.0, 'punctuality_score': 32.5, 'friendliness_score': 0, 'comfortibility_score': 0.0}",15,32.5,punctuality_score,3,35:10.3
5da5f56eef5c100713073f47,5d942676a9cf770a818d195b,2,4,5,3,4,"{'chatty_score': 5.67, 'safety_score': 0.0, 'punctuality_score': 2.0, 'friendliness_score': 0.0, 'comfortibility_score': 2.0}",30,5.67,chatty_score,1,35:58.4
5da5f56fef5c100713073f48,5d94261fa9cf770a818c88d3,2,1,3,1,4,"{'chatty_score': 0.0, 'safety_score': 31.25, 'punctuality_score': 4.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",30,31.25,safety_score,2,35:59.2
5da5f570ef5c100713073f49,5d9426b0a9cf770a818d7e3c,2,1,4,3,4,"{'chatty_score': 1.0, 'safety_score': 13.5, 'punctuality_score': 0.0, 'friendliness_score': 62.5, 'comfortibility_score': 32.0}",25,62.5,friendliness_score,4,36:00.5
5da5f593ef5c100713073f5c,5d942640a9cf770a818cbf00,5,3,4,2,1,"{'chatty_score': 0.0, 'safety_score': 44.31, 'punctuality_score': 0.0, 'friendliness_score': 17.32, 'comfortibility_score': 0.0}",30,44.31,safety_score,2,36:35.1
5da5f594ef5c100713073f5d,5d9425fea9cf770a818c543d,5,1,5,5,5,"{'chatty_score': 0.0, 'safety_score': 2.66, 'punctuality_score': 0.0, 'friendliness_score': 15.0, 'comfortibility_score': 2.66}",25,15,friendliness_score,4,36:36.1
5da5f595ef5c100713073f5e,5d942692a9cf770a818d4be0,3,3,4,1,3,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.33, 'friendliness_score': 19.33, 'comfortibility_score': 0.0}",20,19.33,friendliness_score,4,36:37.2
5da5f596ef5c100713073f5f,5d9426b8a9cf770a818d8c3d,2,2,5,2,2,"{'chatty_score': 21.65, 'safety_score': 23.98, 'punctuality_score': 0.0, 'friendliness_score': 6.33, 'comfortibility_score': 21.32}",15,23.98,safety_score,2,36:38.3
5da5f5c0ef5c100713073f6b,5d9425d6a9cf770a818c14cc,3,2,3,4,2,"{'chatty_score': 0.5, 'safety_score': 62.5, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 17.5}",30,62.5,safety_score,2,37:20.9
5da5f5c1ef5c100713073f6c,5d942667a9cf770a818d00b5,1,5,4,3,2,"{'chatty_score': 4.0, 'safety_score': 0.0, 'punctuality_score': 4.0, 'friendliness_score': 32, 'comfortibility_score': 4.0}",25,32,friendliness_score,4,37:21.7
5da5f5c3ef5c100713073f6d,5d9426bba9cf770a818d9198,3,1,5,3,4,"{'chatty_score': 1.0, 'safety_score': 32.0, 'punctuality_score': 0.0, 'friendliness_score': 0, 'comfortibility_score': 0}",25,32,safety_score,2,37:23.2
5da5f5edef5c100713073f80,5d94263aa9cf770a818cb526,5,2,2,2,1,"{'chatty_score': 9.0, 'safety_score': 12.5, 'punctuality_score': 0.0, 'friendliness_score': 2.66, 'comfortibility_score': 41.65}",30,41.65,comfortibility_score,5,38:06.0
5da5f5eeef5c100713073f81,5d9425c2a9cf770a818bf563,4,2,4,3,5,"{'chatty_score': 18.990000000000002, 'safety_score': 44.84, 'punctuality_score': 3.5700000000000003, 'friendliness_score': 0.0, 'comfortibility_score': 40.03}",15,44.84,safety_score,2,38:06.9
5da5f5efef5c100713073f82,5d94268fa9cf770a818d46a0,5,4,4,2,1,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 44.56999999999999, 'comfortibility_score': 7.0}",20,44.57,friendliness_score,4,38:07.9
5da5f5f4ef5c100713073f83,5d9426a8a9cf770a818d712a,3,1,5,2,5,"{'chatty_score': 121.27000000000001, 'safety_score': 117.94, 'punctuality_score': 28.970000000000002, 'friendliness_score': 4.99, 'comfortibility_score': 55.66}",30,121.27,chatty_score,1,38:12.6
5da5f737ef5c100713073f96,5d942655a9cf770a818ce1bc,3,5,3,5,4,"{'chatty_score': 0.33, 'safety_score': 0.0, 'punctuality_score': 25.0, 'friendliness_score': 58.97, 'comfortibility_score': 0.0}",30,58.97,friendliness_score,4,43:35.9
5da5f738ef5c100713073f97,5d942603a9cf770a818c5b52,5,4,5,5,2,"{'chatty_score': 21.32, 'safety_score': 2.66, 'punctuality_score': 19.98, 'friendliness_score': 17.32, 'comfortibility_score': 2.0}",10,21.32,chatty_score,1,43:36.7
5da5f739ef5c100713073f98,5d942620a9cf770a818c8abb,1,2,3,5,3,"{'chatty_score': 0.0, 'safety_score': 2.99, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.33}",10,2.99,safety_score,2,43:37.4
5da5f73aef5c100713073f99,5d942761a9cf770a818ea89e,2,1,4,4,3,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 12.33, 'friendliness_score': 17.32, 'comfortibility_score': 42.65}",25,42.65,comfortibility_score,5,43:38.3
5da5f757ef5c100713073fa5,5d942618a9cf770a818c7de9,3,4,4,2,4,"{'chatty_score': 13.5, 'safety_score': 4, 'punctuality_score': 0.0, 'friendliness_score': 4, 'comfortibility_score': 62.5}",30,62.5,comfortibility_score,5,44:07.5
5da5f758ef5c100713073fa6,5d942600a9cf770a818c56bc,3,4,3,1,3,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0, 'comfortibility_score': 0.0}",15,0,chatty_score,1,44:08.0
5da5f758ef5c100713073fa7,5d9426caa9cf770a818da9cc,2,4,5,4,4,"{'chatty_score': 0.0, 'safety_score': 62.5, 'punctuality_score': 62.5, 'friendliness_score': 0, 'comfortibility_score': 32}",15,62.5,safety_score,2,44:08.7
5da5f775ef5c100713073fb3,5d942689a9cf770a818d3c15,3,1,2,1,5,"{'chatty_score': 2.5, 'safety_score': 0.0, 'punctuality_score': 13.5, 'friendliness_score': 14.0, 'comfortibility_score': 0.0}",30,14,friendliness_score,4,44:37.6
5da5f776ef5c100713073fb4,5d9425fda9cf770a818c52ba,2,4,5,1,5,"{'chatty_score': 0.5, 'safety_score': 0.0, 'punctuality_score': 0, 'friendliness_score': 4.0, 'comfortibility_score': 13.5}",25,13.5,comfortibility_score,5,44:38.2
5da5f776ef5c100713073fb5,5d9426d7a9cf770a818dc148,2,5,3,1,3,"{'chatty_score': 6.0, 'safety_score': 4.0, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",15,6,chatty_score,1,44:38.9
5da5f793ef5c100713073fc1,5d942619a9cf770a818c7f3d,3,1,2,5,4,"{'chatty_score': 2.0, 'safety_score': 4.0, 'punctuality_score': 0.0, 'friendliness_score': 32, 'comfortibility_score': 0}",30,32,friendliness_score,4,45:08.0
5da5f794ef5c100713073fc2,5d9425d7a9cf770a818c1694,2,4,2,3,2,"{'chatty_score': 33.5, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0, 'comfortibility_score': 0}",30,33.5,chatty_score,1,45:08.5
5da5f795ef5c100713073fc3,5d9426faa9cf770a818df85d,1,4,1,4,5,"{'chatty_score': 3.5, 'safety_score': 62.5, 'punctuality_score': 0.0, 'friendliness_score': 0, 'comfortibility_score': 0}",10,62.5,safety_score,2,45:09.2
5da5f7d3ef5c100713073fd6,5d94262ca9cf770a818c9e68,2,5,1,3,5,"{'chatty_score': 35.0, 'safety_score': 9.0, 'punctuality_score': 44.31, 'friendliness_score': 0.0, 'comfortibility_score': 2.66}",30,44.31,punctuality_score,3,46:11.5
5da5f7d4ef5c100713073fd7,5d942678a9cf770a818d1de9,1,4,3,1,4,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 2.66, 'friendliness_score': 0.0, 'comfortibility_score': 41.65}",20,41.65,comfortibility_score,5,46:12.2
5da5f7d5ef5c100713073fd8,5d942617a9cf770a818c7c3f,1,4,1,5,3,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 41.98, 'comfortibility_score': 0.33}",30,41.98,friendliness_score,4,46:13.0
5da5f7d5ef5c100713073fd9,5d9426f2a9cf770a818deb3d,4,1,2,3,1,"{'chatty_score': 7.0, 'safety_score': 41.65, 'punctuality_score': 11.66, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",15,41.65,safety_score,2,46:13.9
5da5f7e5ef5c100713073fe5,5d9426a0a9cf770a818d62a0,3,5,3,2,2,"{'chatty_score': 0.0, 'safety_score': 0, 'punctuality_score': 44.75, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",30,44.75,punctuality_score,3,46:29.9
5da5f7e6ef5c100713073fe6,5d94265da9cf770a818cef63,3,4,1,1,1,"{'chatty_score': 0.0, 'safety_score': 0, 'punctuality_score': 0.5, 'friendliness_score': 69.25, 'comfortibility_score': 0.0}",25,69.25,friendliness_score,4,46:30.5
5da5f7e7ef5c100713073fe7,5d9426cba9cf770a818dac1a,2,3,2,2,3,"{'chatty_score': 42.0, 'safety_score': 0.0, 'punctuality_score': 32.5, 'friendliness_score': 62.5, 'comfortibility_score': 4}",10,62.5,friendliness_score,4,46:31.5
5da5f82fef5c100713073ffa,5d9425caa9cf770a818c020a,4,4,1,4,4,"{'chatty_score': 2.66, 'safety_score': 41.65, 'punctuality_score': 17.32, 'friendliness_score': 9.0, 'comfortibility_score': 0.99}",30,41.65,safety_score,2,47:43.3
5da5f82fef5c100713073ffb,5d9425d7a9cf770a818c1615,4,2,2,5,3,"{'chatty_score': 0.0, 'safety_score': 17.32, 'punctuality_score': 0.0, 'friendliness_score': 21.65, 'comfortibility_score': 27.64}",15,27.64,comfortibility_score,5,47:44.0
5da5f830ef5c100713073ffc,5d942697a9cf770a818d5363,3,4,2,4,1,"{'chatty_score': 0.0, 'safety_score': 0.33, 'punctuality_score': 12.99, 'friendliness_score': 41.65, 'comfortibility_score': 12.99}",10,41.65,friendliness_score,4,47:44.8
5da5f831ef5c100713073ffd,5d94270ba9cf770a818e158d,2,3,2,5,2,"{'chatty_score': 0.0, 'safety_score': 4.33, 'punctuality_score': 0.0, 'friendliness_score': 21.32, 'comfortibility_score': 1.32}",25,21.32,friendliness_score,4,47:45.6
5da5f944ef5c100713074010,5d94266ea9cf770a818d0c73,1,5,4,4,1,"{'chatty_score': 0.0, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 5.16}",30,5.16,comfortibility_score,5,52:20.1
5da5f944ef5c100713074011,5d9425b1a9cf770a818bdcf9,4,4,3,2,3,"{'chatty_score': 6.99, 'safety_score': 2.66, 'punctuality_score': 1.4, 'friendliness_score': 0.0, 'comfortibility_score': 6.99}",15,6.99,chatty_score,1,52:20.8
5da5f945ef5c100713074012,5d942679a9cf770a818d1fa1,1,4,2,5,1,"{'chatty_score': 18.53, 'safety_score': 25.73, 'punctuality_score': 31.65, 'friendliness_score': 0.0, 'comfortibility_score': 41.65}",25,41.65,comfortibility_score,5,52:21.5
5da5f946ef5c100713074013,5d9426a2a9cf770a818d6713,1,5,5,4,2,"{'chatty_score': 0.0, 'safety_score': 9.0, 'punctuality_score': 15.32, 'friendliness_score': 0.0, 'comfortibility_score': 65.96}",20,65.96,comfortibility_score,5,52:22.7
5da5f9f2ef5c100713074026,5d94260fa9cf770a818c7028,4,3,3,1,1,"{'chatty_score': 31.65, 'safety_score': 0.0, 'punctuality_score': 21.32, 'friendliness_score': 0.33, 'comfortibility_score': 8.0}",30,31.65,chatty_score,1,55:14.2
5da5f9f2ef5c100713074027,5d94268fa9cf770a818d45c6,5,4,3,2,4,"{'chatty_score': 0.0, 'safety_score': 0.33, 'punctuality_score': 0.0, 'friendliness_score': 43.98, 'comfortibility_score': 0.0}",30,43.98,friendliness_score,4,55:14.8
5da5f9f3ef5c100713074028,5d9425b9a9cf770a818be8d0,5,2,5,2,5,"{'chatty_score': 30.32, 'safety_score': 21.98, 'punctuality_score': 0.0, 'friendliness_score': 0.0, 'comfortibility_score': 57.65}",10,57.65,comfortibility_score,5,55:15.3
5da5f9f3ef5c100713074029,5d942706a9cf770a818e0caa,4,1,2,1,2,"{'chatty_score': 18.990000000000002, 'safety_score': 0.66, 'punctuality_score': 41.65, 'friendliness_score': 6.99, 'comfortibility_score': 24}",15,41.65,punctuality_score,3,55:15.9
5da5fa09ef5c10071307403c,5d9425b3a9cf770a818bdfef,4,2,4,5,4,"{'chatty_score': 2.66, 'safety_score': 0.0, 'punctuality_score': 73.3, 'friendliness_score': 18.66, 'comfortibility_score': 6.99}",30,73.3,punctuality_score,3,55:37.9
5da5fa0aef5c10071307403d,5d94266ba9cf770a818d07d2,3,3,3,5,2,"{'chatty_score': 0.0, 'safety_score': 26.32, 'punctuality_score': 21.32, 'friendliness_score': 17.32, 'comfortibility_score': 2.33}",25,26.32,safety_score,2,55:38.5
